Process	CPU	Private Bytes	Working Set	PID	Description	Company Name
  svchost.exe		4,004 K	13,540 K	2240	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		13,132 K	30,008 K	2252	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		17,656 K	26,012 K	2264	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		6,288 K	16,080 K	2288	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,236 K	8,656 K	2312	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,560 K	6,540 K	2376	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,264 K	5,504 K	2384	Host Process for Windows Services	Microsoft Corporation
  MsMpEng.exe	0.22	167,172 K	198,012 K	2392	Antimalware Service Executable	Microsoft Corporation
  svchost.exe		4,464 K	20,508 K	2412	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		3,300 K	12,344 K	2500	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,260 K	5,336 K	2576	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		3,228 K	11,848 K	2808	Host Process for Windows Services	Microsoft Corporation
  NisSrv.exe		5,264 K	10,496 K	3088	Microsoft Network Realtime Inspection Service	Microsoft Corporation
  svchost.exe		5,568 K	18,708 K	3208	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		7,520 K	33,392 K	3260	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		3,212 K	14,644 K	3340	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,716 K	7,652 K	3540	Host Process for Windows Services	Microsoft Corporation
   ctfmon.exe		6,740 K	17,812 K	3648		
  svchost.exe		3,852 K	15,404 K	3640	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		3,628 K	21,440 K	3836	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,608 K	7,260 K	4856	Host Process for Windows Services	Microsoft Corporation
   Windows.WARP.JITService.exe		1,260 K	5,500 K	6692		
   Windows.WARP.JITService.exe		1,264 K	5,320 K	6760		
  svchost.exe		1,588 K	10,780 K	5652	Host Process for Windows Services	Microsoft Corporation
  SecurityHealthService.exe		3,928 K	15,160 K	6040	Windows Security Health Service	Microsoft Corporation
  svchost.exe		2,596 K	11,304 K	5592	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,892 K	7,276 K	5764	Host Process for Windows Services	Microsoft Corporation
  svchost.exe	0.11	3,896 K	15,400 K	5756	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,788 K	11,596 K	1984	Host Process for Windows Services	Microsoft Corporation
  SgrmBroker.exe		3,184 K	6,084 K	3664	System Guard Runtime Monitor Broker Service	Microsoft Corporation
  svchost.exe		4,544 K	15,556 K	1976	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,476 K	9,428 K	112	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,756 K	11,624 K	6188	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		4,592 K	13,312 K	6856	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,304 K	5,996 K	3476	Host Process for Windows Services	Microsoft Corporation
